feature,importance_f1,importance_f2,importance_f3,importance_f4,importance_f5,importance_mean,importance_relative
SiteState,436.79933872818947,238.48818488419056,498.58224253356457,228.70456036925316,22.314768716692924,284.97781904637816,0.0008079871554401067
CustodialCapture,143.22039225697517,446.71093994379044,352.027973100543,306.737741753459,173.53073654323816,284.44555671960114,0.000806478051591956
SurakartaStyle,187.38389076292515,22.836718931794167,839.7494020164013,201.00952264666557,144.54404401313514,279.10471567418426,0.0007913353609138374
Stochastic,257.7198154889047,204.51356989517808,578.2556727603078,127.65963902696967,220.73338317498565,277.7764160692692,0.0007875692817749804
Parity,622.434710226953,209.4496889859438,184.5927530452609,153.92899721860886,217.74969472549856,277.63116884045303,0.0007871574676357626
Timeouts,188.72431146353483,215.1545331198722,331.9349588062614,450.72291324287653,190.98107321560383,275.50355796962975,0.0007811251305887864
RectangleShape,210.96857105195522,209.63531485944986,578.2080011963844,178.19372782111168,183.64365240186453,272.1298534661531,0.0007715597899802391
ReachEnd,373.3896369636059,282.1573348939419,339.4579032510519,84.1134043931961,273.2268769070506,270.4690312817693,0.0007668509217709778
agent1_score_bounds,349.4782465733588,273.342028317973,175.6102099288255,249.83686972409487,303.7835999298841,270.4101908948272,0.0007666840937805419
MoveDistanceChangeLineBestFit,105.33215482532978,122.95412182435393,839.5182900577784,100.72774019092321,182.52181230671704,270.21082384102044,0.0007661188356870073
DiscComponent,416.17585607618093,235.08239029720426,241.3579819239676,195.73832065984607,241.5042558759451,265.9717609666288,0.0007540999762365668
FromToDecision,557.1023039147258,180.81725277751684,249.89898505806923,210.45232670009136,118.34905295073986,263.3239842802286,0.0007465928321358643
AllDirections,205.47276005893946,270.1116175800562,325.6303923204541,204.51688115298748,308.17624831944704,262.78157988637685,0.0007450549728570156
BranchingFactorChangeSign,238.48622146621346,184.84695169329643,408.190835153684,233.89699945226312,247.05189860612154,262.4945812743157,0.000744241256221277
NumDiagonalDirections,113.39868011325598,373.82139433547854,372.4167298860848,243.24568378180265,203.45729649811983,261.2679569229484,0.0007407634531986721
GreaterThan,264.5910457521677,259.69590613245964,420.9647731631994,230.0313636958599,128.92698003351688,260.8420137554407,0.0007395557921622963
