feature;importance_mean;importance_std;val_imp_0;val_imp_1;val_imp_2;val_imp_3;val_imp_4
AdvantageP1;0.09993864524152209;0.02592449881499077;0.06598183391174997;0.12146110643663927;0.09331226510278198;0.08191404540418476;0.13702397535225447
agent2 & agent2_selection;0.02948222604344309;0.00548172959844581;0.03295126260783521;0.02750130865456868;0.03811600465551199;0.022357299432672673;0.026485254866626895
agent1 & agent1_selection;0.027510397181509272;0.004632556792863137;0.029162981071073124;0.020606961824327114;0.03478538940566464;0.02748330756193984;0.02551334604454164
DecisionFactorChangeSign;0.0022007532187230837;0.0016002864500057094;0.004348419609312537;0.0012111850336518348;0.0023449386029385233;0.003330637363184563;-0.00023141451547203928
NumDiagonalDirections;0.0021944914389254388;0.0034220342957873317;0.0006943356310008808;0.0024194530927987845;0.008283068919225117;0.0017365703058591364;-0.0021609707542567247
NumConvexCorners;0.0020542361804990806;0.001496476681788534;0.00419924524628193;0.0021883106326670843;0.0024145327134085792;0.0019521658261080488;-0.0004830735159702393
PlayoutsPerSecond;0.0019417110956030993;0.004865113277609862;0.0036705306603021792;-0.004419167724016182;0.009351928774608442;0.003392229690452414;-0.0022869659233313577
BoardSitesOccupiedVariance;0.0018864492606298577;0.0015361800403639334;0.004558884689539189;0.0023686745451649005;0.001164761785829277;0.0013570874604149075;-1.716217779898499e-05
MarkerComponent;0.0018696880281195982;0.0006651090925674821;0.001181687056848374;0.0021611891874883105;0.002364564182158746;0.0026582918665958855;0.0009827078475066753
NumInnerSites;0.0018502824772669902;0.0014943377334736725;0.0024983991910343395;0.0018393139284701154;0.004093914639143409;0.001293554523375151;-0.00047376989568806427
MoveDistanceMaxDecrease & MoveDistanceMaxIncrease & MoveDistanceVariance;0.0017587222425744897;0.0019164756496758766;0.0020504514343656077;0.0017269855109685595;0.004448086952732522;0.0021138312180442598;-0.0015457439032385
BranchingFactorMaximum & BranchingFactorVariance & DecisionFactorMaximum & DecisionFactorVariance;0.0016747782379698318;0.0019605459874288966;0.00033331942386155555;0.003184130757105219;-0.00032608113476670364;0.004765856007459712;0.0004166661361893753
IsPieceAt;0.0016452557163354365;0.000985391698291367;0.0024551528504620224;0.002109971079350681;0.0007575940595905828;0.002700836252754163;0.00020272433951973312
PieceNumberMaxIncrease;0.0014801869632649956;0.0006033442223494982;0.002405111879485805;0.0007915525894955089;0.0008450707930757195;0.0016183039309310698;0.0017408956233368744
SpaceConditions;0.0014682962586363424;0.0025740776550134234;0.0038361566245144474;0.0007918435871023255;0.0015453607586433937;0.004154448239304498;-0.0029863279163829526
SetVar;0.0014548036546894682;0.0008244355103558938;0.0016071771623212272;0.001007407111624531;0.002987103027748239;0.0006604946792466981;0.001011836292506646
MovesPerSecond;0.0014207428359710172;0.0011953191790004475;0.001505022248458776;0.00039525308986823604;0.0025398715991092613;0.0028837067487249013;-0.00022013950630608847
MancalaTwoRows;0.0014144773136747113;0.002088671440274188;0.0011934223508001385;0.0008908160944875732;0.0054230543628660255;-0.0004349062397801806;0.0
SetPending;0.0014057997851254056;0.000706696470871796;0.0022502350065266297;0.001719026428144782;0.0015595982343413195;0.0013834335428815903;0.00011670571373270655
NotEqual;0.0014053096950911114;0.0012050367451695763;0.0010151298643541473;7.753144268238255e-05;0.0034498352271601085;0.000496397176412533;0.001987654764846386
Intersection;0.0013912122696442153;0.0011665421067802058;0.0009545287505922928;0.0020178822291054554;0.0016937572893068742;0.002878132564253344;-0.0005882394850368899
Symbols;0.0013761837882774574;0.0008494187110265505;0.00037913198445496676;0.0021211709371299903;0.002415435829061452;0.0015607621230935287;0.00040441806764734967
AllDirections;0.0013593306083374945;0.0015301624254745194;0.0025387108890397025;0.0024695337181165067;0.00019114552637525262;0.0026814581828696338;-0.001084195274713623
LeftwardDirection & RightwardDirection;0.0013084049557140376;0.0006439248010395002;0.0021659376174279765;0.0020223030428890842;0.0007265815442005219;0.0008123405508312642;0.000814862023221341
BranchingFactorChangeLineBestFit;0.001304725108615079;0.0014090165812284442;0.0022538891120683358;0.0021763716690992307;0.002127892313893237;0.0014133034417796175;-0.0014478309937650258
OpeningContract & SwapOption & SwapPlayersDecision;0.0012852284075864306;0.0011007725755582658;0.0010397722061599446;0.0020204317139311534;0.0025855701482700444;0.0014305279151491102;-0.0006501599455780993
agent1_playout;0.001279599815843613;0.0017812601323458925;0.00033599210099297117;0.002190775527020211;0.004359120765825342;-0.00033875181560824585;-0.00014913749901221407
LeapDecisionToEnemyFrequency;0.0012189785946800258;0.001523643864207271;0.0030173847656217723;0.00010454767741688298;0.0013682386181357031;0.0026410851104542166;-0.001036363198228446
PushEffect & PushEffectFrequency;0.0012157123170767781;0.0011481095471869765;0.003298260422259114;0.0014218457932698991;0.00016035707065784055;0.0010095113408602752;0.00018858695833676165
ForEachPiece;0.00120207555453567;0.0010582022310677529;0.001390774320604804;0.0006579915243198342;0.003180647666965436;0.0005231655442550776;0.0002577987165331974
IsFriend;0.001159642647990522;0.0011309102509264274;0.0022989098921041284;0.002406617228450064;0.0014103883834682696;-0.0001257648762929553;-0.00019193738777689706
DurationTurnsStdDev;0.0011446115808900648;0.003477696802934472;0.0024860495027102802;-0.0001150497112637483;0.005470327664602398;0.002726420490639453;-0.004844690042238059
NumAdjacentDirections;0.0011445737610840667;0.0017867019424894243;0.001363010018921973;0.0036255969734701743;0.002232742636615992;8.77640185638906e-05;-0.0015862448421516961
CheckmateFrequency & CheckmateWinFrequency;0.0011400903158748587;0.0018748139962195117;0.00045576231726077165;0.003848356333750136;0.0014476732316143492;0.0018396750957228036;-0.0018910153989737666
BoardSitesOccupiedMaxIncrease;0.001134537792812701;0.003659246116819087;0.004644434640090844;-0.002154348831796049;0.006218547620039733;-0.0029135876556981577;-0.00012235680857286546
InitialCost;0.0011298805434656555;0.000601747896859559;0.0014626317124838417;0.0017598974432999626;0.0011351274894116359;0.0012917460721328378;0.0
LineOfSight;0.0011214160113433014;0.0009161915714874292;0.0021441264282845707;0.0010439789055069482;0.0020203457129602254;0.0007634443178478612;-0.00036481530788309846
BoardCoverageDefault;0.0011156073587613724;0.0006340247994022851;0.0012683480748419684;0.00024419605483966267;0.0014835935075757645;0.002008705195015975;0.0005731939615334913
SowSkip;0.0011152557402500484;0.0014323718906507897;0.00316520803944928;0.0020634302396569104;0.0012750183735152631;-0.00019401331459914517;-0.0007333646367720659
OrthogonalDirection;0.0010945007961805364;0.0013983335595420074;0.0012150899031560525;0.00010414891309851182;0.003146273112398318;0.001895078258622701;-0.0008880862063729011
NumBottomSites & NumTopSites;0.0010609971555544107;0.0018422483166192747;0.0017519422988860334;0.0008307830004142536;0.003433232441458295;0.001488238692277738;-0.0021992106552642665
BranchingFactorAverage & BranchingFactorMedian & DecisionFactorAverage & DecisionFactorMedian;0.0010581375650344394;0.0022526789080164404;0.0042108832813673724;0.0011979008688899617;-0.0005732121503414234;0.0026121380610306666;-0.0021570222357743807
CaptureSequence & CaptureSequenceFrequency;0.0010379009457138321;0.001639365391646068;0.0015726899025921837;0.0022615569886863807;0.002861807157367835;0.00022422396567312042;-0.0017307732857503588
MoveConditions;0.0010305993915475154;0.0014811611114286488;0.00011981836759467068;0.0033219220740734468;0.002253041631144398;-0.00021013951326961933;-0.0003316456018053193
MancalaBoard & MancalaStyle & Sow & SowFrequency & SowOriginFirst & SowProperties & SowWithEffect;0.0010241245951435884;0.0015019059467967217;0.0009018770466024117;0.00035061954187395883;0.0018747213326920087;0.0032422575918047425;-0.0012488525372551795
Comparison;0.0010204148165108395;0.0011134958046142515;-0.0004741287936159966;0.00140144356945604;0.0028438726971313777;0.001014379424062406;0.0003165071855203705
GreaterThan;0.0010204033976488835;0.001244020803385255;0.0020883801984723227;0.0011891625097099345;0.0023887454458932644;0.0005251156662325895;-0.0010893868320636935
Disjunction;0.001018543379802711;0.0015481979834581186;0.0021579217436596965;-0.001908013554207194;0.002278695588381202;0.0017263562647365782;0.0008377568564432725
